Class_X_Percentage,Class_XII_Percentage,Study_Hours,Gender_Male,Caste_General,Caste_OBC,Caste_SC,Coaching_Yes,Medium_English
70.53485047932979,76.0537550614596,5.122316101426721,1,0,0,0,0,1
72.45022782579144,65.0069776770509,9.011524772354488,1,0,0,1,0,1
92.55340842443204,85.72507337309803,4.652723993357727,1,0,1,1,0,0
73.15097863557011,76.79581781939598,6.570733890290843,0,1,0,0,0,0
90.79212815507393,83.95193220027733,1.213089629672732,0,1,0,0,1,1
64.37696286273895,91.13711269058646,3.0835137467646674,0,0,1,0,0,1
76.86766764477078,84.7519762978243,5.230509141651521,1,1,0,0,0,0
70.12393775927507,84.13584626233249,1.2809406908660697,0,0,0,1,0,0
89.533844771177,79.41940649569409,4.111798254933143,0,0,1,0,1,0
69.24362173762226,91.39964529371392,11.99227994182301,0,0,0,0,0,1
68.98293387770603,72.42623462576655,2.3101209604277413,1,0,0,0,0,0
68.4816389219784,70.33963498131757,2.759268466485106,1,0,0,0,0,1
88.68631557532349,55.33643410623998,3.516641694029241,1,0,0,1,0,0
93.31458765854352,76.36535331082737,1.4582287126486986,0,0,0,1,1,1
54.2660976759185,71.33175588185313,4.736079784208291,0,0,1,0,1,0
73.91239851543142,76.19580368414154,4.4358557074525,1,1,0,0,0,0
91.28615545571292,72.51308873816453,1.5910590892140992,0,1,0,0,1,0
85.91506851922462,80.4673356820138,1.9396897754549225,1,1,0,0,0,1
75.865897874729,73.99845923520047,3.631619913489664,0,1,0,0,1,0
69.41078152728412,50.0,3.7984181026937183,1,1,0,0,0,0
78.57112571511746,71.50742295681572,4.051379671524484,1,1,1,0,0,0
64.97470635362191,50.0,2.605891617871272,1,1,1,0,0,0
67.92330534381219,79.19019009366045,2.406512530508538,0,0,0,0,0,1
76.50301761461877,76.90499679779066,2.114342736047142,0,0,0,0,0,1
83.30335816544246,66.7240977935128,4.840581893251871,1,1,0,0,0,1
72.79035826170336,68.58518404777048,4.460105133376306,1,1,1,0,0,0
80.70598668593159,65.4056076327652,4.212371045805408,1,0,0,0,1,1
78.57015485965047,75.81829358547564,3.319845119826753,1,1,0,0,0,0
88.29152530132431,77.85554074857657,4.42594430601556,1,0,0,0,0,0
58.87284128810349,79.13799097451498,2.8047839860894497,0,0,0,0,1,0
67.36740843457483,71.27793223928947,0.2362497616406412,1,1,0,0,0,0
67.80155791605291,83.83659937486672,2.7973342622714275,1,0,0,0,0,1
72.45022782579144,65.0069776770509,9.011524772354488,1,0,0,1,0,1
75.60230209941027,83.70067730688754,2.0848387999510467,1,0,0,1,1,1
75.45571839903813,74.11717951648745,4.89361441232451,1,0,0,1,0,0
64.87168879665576,68.48581996385552,2.9125525464337167,1,0,0,0,0,0
66.72769056447677,76.83359919779156,8.99488756773707,0,0,0,0,1,0
81.86260190374513,81.33776880932099,4.17227390508881,0,0,1,1,1,0
71.12298440064016,58.37508011964326,3.3146726054675204,0,1,0,0,0,0
73.15097863557011,76.79581781939598,6.570733890290843,0,1,0,0,0,0
65.60120213672644,80.86364018755093,3.72074606490948,0,0,0,0,0,0
69.29253706250523,68.29379790923355,0.9737325968756328,1,0,1,0,1,0
81.90143991711112,86.96571501664491,5.648492264262819,0,1,1,0,0,1
60.924883052821784,91.15375689469442,7.908088301605382,0,0,0,0,0,1
62.85811387212268,55.24533433646128,3.846406170812103,0,0,1,0,1,1
81.14166700043425,91.69904504351406,2.6881303110379284,0,0,0,0,0,1
87.7767682189851,96.65002344901085,10.024913693592913,1,1,0,0,0,0
69.69742381627559,80.65509645631545,3.873004052984163,0,0,0,0,0,1
77.48220586300336,81.93105607263143,3.775582692024242,0,0,0,0,0,1
75.45571839903813,74.11717951648745,4.89361441232451,1,0,0,1,0,0
58.87284128810349,79.13799097451498,2.8047839860894497,0,0,0,0,0,0
68.18015752002202,82.08303847201064,3.2542558800147905,1,1,1,0,0,1
61.555494889657226,82.08214423256557,2.2137876561805507,0,0,0,0,0,0
63.75357908162131,80.5623000940066,4.620711858696011,0,0,1,0,1,0
91.76437312275284,62.45710576830751,4.1462277964992795,1,1,0,1,0,0
84.7511973341775,76.48667457202112,2.657296192715288,0,0,1,0,1,0
56.32734807408252,78.09820710227028,4.529481995690426,1,1,0,0,0,0
77.08863595004756,62.74234336997659,3.6800176462668697,0,1,0,0,1,0
72.79035826170336,68.58518404777048,4.460105133376306,1,1,1,0,1,0
68.99783122841205,78.93317839394372,3.242108934674574,0,0,0,0,0,0
78.85317379728836,79.40474737960399,7.198547762152042,1,0,0,0,1,1
77.7902152577034,69.57326200265979,3.181313852876708,1,1,0,0,1,0
92.95877673095522,57.51468026761819,4.587762659461228,1,1,0,0,0,0
77.03463635867223,71.00363814385398,0.7295765284778355,1,0,0,0,0,0
73.85263558533102,72.96419639897638,3.686524434807481,1,0,0,0,0,1
95.9238727568546,79.86501643826202,3.5231170641174847,1,0,1,1,1,0
76.95845255097682,72.76534017628148,1.87684642013206,0,0,1,0,1,0
83.56398794323472,61.65974505081795,0.7041615040599398,0,1,1,0,1,1
64.87168879665576,68.48581996385552,2.9125525464337167,1,0,0,0,0,1
80.70598668593159,65.4056076327652,4.212371045805408,1,0,0,0,1,0
76.86609123156359,68.79152401748884,7.690627637406171,1,0,1,0,0,1
59.05572341205633,64.53089017318061,4.009059340996407,1,0,0,0,0,0
75.46436548156149,79.47716925810278,2.902066035671098,1,0,0,1,0,0
93.46707325736034,77.80161158819607,11.41487043401376,0,0,1,0,0,0
59.433708264760966,79.09818656928513,4.338058068978996,0,0,1,0,0,0
72.74223699513465,69.26299996061421,2.5282137881292934,0,1,1,0,0,1
88.66874267444524,75.14688194729197,5.306173514952526,1,1,1,0,0,0
82.51933032686775,85.50654396007612,4.687251040589825,1,1,0,0,0,0
100.0,92.4957674318694,7.408811368142086,1,1,0,1,0,1
76.17327383308782,66.01532018208962,10.55597820346393,0,0,1,0,0,1
76.30740577286092,87.36093175210438,4.062511518390039,0,1,1,0,0,0
60.91538703636441,86.09699841956223,7.605587992395288,1,0,0,0,0,1
72.59674601841866,70.35382702701607,2.459493387619175,1,1,0,1,0,0
96.33033374656269,67.14010539492051,4.858089207008142,0,0,0,0,0,1
86.03301882016521,74.0946671769584,2.1022256475622436,0,0,0,0,0,1
67.22183312409125,71.7767953078866,3.061175972511785,0,1,1,0,0,1
100.0,75.75433638901593,7.366413749002364,0,0,1,0,0,0
